27067,1.99473
27068,1.996
27069,-2.00184
27070,-2.00088
27071,-2.00056
27072,-1.99929
27073,-1.99961
27074,1.99568
27075,1.99473
27076,1.99473
27077,1.99505
27078,1.99505
27079,-2.00184
27080,-2.00056
27081,-1.99992
27082,-1.99992
27083,-1.99992
27084,1.99505
27085,1.99537
27086,1.99505
27087,1.99537
27088,1.99537
27089,-2.00184
27090,-2.0012
27091,-2.00024
27092,-2.00024
27093,-1.99929
27094,1.99505
27095,1.99441
27096,1.996
27097,1.99537
27098,1.99505
27099,-2.00088
27100,-1.99992
27101,-2.00056
27102,-1.99992
27103,-1.99992
27104,1.99537
27105,1.996
27106,1.99568
27107,1.99568
27108,1.99537
27109,-2.0012
27110,-2.00088
27111,-2.00056
27112,-2.00056
27113,-2.00024
27114,1.99568
27115,1.99537
27116,1.99537
27117,1.99568
27118,1.99568
27119,-2.0012
27120,-2.00024
27121,-1.99992
27122,-1.99992
27123,-1.99929
27124,1.99505
27125,1.99537
27126,1.99568
27127,1.99568
27128,1.99473
27129,-2.00184
27130,-2.00088
27131,-2.00056
27132,-2.00088
27133,-2.00024
27134,1.99537
27135,1.996
27136,1.99537
27137,1.99505
27138,1.99537
27139,-2.0012
27140,-2.00024
27141,-1.99992
27142,-2.00024
27143,-1.99961
27144,1.99473
27145,1.99537
27146,1.99505
27147,1.99537
27148,1.99568
27149,-2.00184
27150,-2.00088
27151,-2.0012
27152,-2.00088
27153,-2.00024
27154,1.99441
27155,1.99568
27156,1.99473
27157,1.99505
27158,1.99537
27159,-2.0012
27160,-2.00056
27161,-2.00024
27162,-1.99961
27163,-2.00024
27164,1.99568
27165,1.996
27166,1.99568
27167,1.99537
