Time - Plot 0	Amplitude - Plot 0
0	-0.00228882
1	0.00665283
2	-0.00198364
3	0.00408936
4	0.00088501
5	0.00408936
6	0.00186157
7	0.00378418
8	0.000274658
9	0.00439453
10	0.00088501
11	0.00314331
12	0.00378418
13	-0.000366211
14	0.00726318
15	-0.00259399
16	0.00601196
17	-0.00164795
18	0.00378418
19	0.00250244
20	0.00088501
21	0.00088501
22	0.0012207
23	-6.10E-05
24	0.00408936
25	-0.000366211
26	0.00280762
27	0.00088501
28	-0.000701904
29	0.00665283
30	-0.00546265
31	0.00695801
32	-0.00485229
33	0.00344849
34	0.000274658
35	-0.00259399
36	0.00280762
37	-0.00421143
38	0.00216675
39	-0.00228882
40	-0.00100708
41	-6.10E-05
42	-0.000701904
43	-0.00228882
44	0.00152588
45	-0.00485229
46	0.00280762
47	-0.00485229
48	-0.000366211
49	-0.00100708
50	-0.00357056
51	0.000579834
52	-0.00323486
53	0.000579834
54	-0.00292969
55	-0.00259399
56	-0.00228882
57	-0.000701904
58	-0.00323486
59	0.000274658
60	-0.00643921
61	0.0012207
62	-0.00515747
63	-0.000701904
64	0.000579834
65	-0.00610352
66	0.00314331
67	-0.00674438
68	0.00216675
69	-0.00387573
70	-0.00228882
71	-6.10E-05
72	-0.0045166
73	0.000579834
74	-0.00292969
75	-0.00198364
76	0.00088501
77	-0.00357056
78	-0.000366211
79	-0.00292969
80	-0.00228882
81	0.00152588
82	-0.0045166
83	0.00216675
84	-0.00323486
85	0.0012207
86	0.000274658
87	-0.00100708
88	0.00186157
89	0.000274658
90	0.000274658
91	0.0012207
92	0.000579834
93	0.0012207
94	0.0012207
95	-0.000701904
96	0.00473022
97	-0.00292969
98	0.00439453
99	0.000274658
100	0.0012207
101	0.00378418
102	-0.00134277
103	0.00439453
104	0.000579834
105	0.00216675
106	0.00439453
107	-0.000701904
108	0.00537109
109	0.000274658
110	0.00344849
111	0.00378418
112	-0.00164795
113	0.00631714
114	-0.00134277
115	0.0050354
116	0.00216675
117	-0.000366211
118	0.00631714
119	-0.00134277
120	0.00473022
121	0.00088501
122	0.000579834
123	0.00473022
124	0.000274658
125	0.00378418
126	0.00088501
127	0.000579834
128	0.00408936
129	0.00088501
130	0.00250244
131	0.00186157
132	0.000274658
133	0.00314331
134	0.000274658
135	0.00186157
136	0.0012207
137	-0.00134277
138	0.00314331
139	-0.00134277
140	0.00186157
141	0.0012207
142	-0.00164795
143	0.00378418
144	-0.00259399
145	0.00216675
146	-0.00164795
147	-0.00164795
148	0.00216675
149	-0.00421143
150	0.00152588
151	-0.00228882
152	-0.000701904
153	0.00186157
154	-0.00387573
155	0.00280762
156	-0.00323486
157	-0.000366211
158	-0.000366211
159	-0.00323486
160	0.0012207
161	-0.00515747
162	0.0012207
163	-0.00198364
164	-0.00164795
165	-0.000701904
166	-0.00259399
167	-0.00100708
168	-0.00100708
169	-0.00228882
170	-0.000366211
171	-0.00292969
172	-0.00198364
173	-0.000366211
174	-0.00515747
175	0.0012207
176	-0.00485229
177	-6.10E-05
178	-0.00134277
179	-0.00421143
180	0.0012207
181	-0.00421143
182	-0.00134277
183	0.000274658
184	-0.00515747
185	0.00088501
186	-0.00323486
187	-0.00134277
188	-6.10E-05
189	-0.00610352
190	0.00473022
191	-0.00610352
192	0.00186157
193	-0.00228882
194	-0.00198364
195	0.00314331
196	-0.0045166
197	0.00378418
198	-0.00323486
199	0.000579834
200	0.00088501
201	0.000274658
202	0.000579834
203	0.00088501
204	-0.00198364
205	0.00473022
206	-0.00164795
207	0.00314331
208	-6.10E-05
209	0.000274658
210	0.00408936
211	-0.00198364
212	0.00408936
213	-0.000701904
214	0.00186157
215	0.00186157
216	0.00216675
217	0.0012207
218	0.00314331
219	0.000579834
220	0.00439453
221	-0.000701904
222	0.00408936
223	0.00250244
224	0.000274658
225	0.00695801
226	-0.0045166
227	0.00823975
228	-0.00292969
229	0.00537109
230	0.00186157
231	0.000274658
232	0.00567627
233	0.000274658
234	0.00439453
235	0.0012207
236	0.000274658
237	0.00280762
238	0.0012207
239	0.00250244
240	0.00537109
241	-0.00357056
242	0.00665283
243	-0.00228882
244	0.00439453
245	0.000274658
246	0.00088501
247	0.00250244
248	-0.000701904
249	0.00280762
250	-0.000366211
251	0.000579834
252	-6.10E-05
253	0.00152588
254	-0.00228882
255	0.00314331
256	-0.00515747
257	0.00567627
258	-0.00421143
259	0.0012207
260	0.000274658
261	-0.00387573
262	0.00378418
263	-0.00643921
264	0.00344849
265	-0.00357056
266	-0.000701904
267	-0.000366211
268	-0.00198364
269	-0.00164795
270	-6.10E-05
271	-0.00485229
272	0.00280762
273	-0.00579834
274	0.00088501
275	-0.00292969
276	-0.0045166
277	0.00250244
278	-0.0083313
279	0.00439453
280	-0.00738525
281	0.00186157
282	-0.00323486
283	-0.000701904
284	-0.00259399
285	-0.00100708
286	-0.00387573
287	-0.00100708
288	-0.00228882
289	-0.00292969
290	0.000274658
291	-0.00579834
292	0.00473022
293	-0.00738525
294	0.00280762
295	-0.00546265
296	0.000274658
297	-0.000701904
298	-0.00292969
299	0.000579834
300	-0.00323486
301	-0.000701904
302	-6.10E-05
303	-0.00228882
304	-0.00134277
305	0.000579834
306	-0.00323486
307	0.00473022
308	-0.00802612
309	0.00601196
310	-0.00643921
311	0.00378418
312	0.000579834
313	-0.00164795
314	0.00473022
315	-0.00515747
316	0.00631714
317	-0.00323486
318	0.00378418
319	-6.10E-05
320	0.00216675
321	0.000274658
322	0.00408936
323	-0.00198364
324	0.00601196
325	-0.00228882
326	0.00408936
327	0.00186157
328	-0.00134277
329	0.00601196
330	-0.00292969
331	0.00631714
332	-0.00134277
333	0.00439453
334	0.000274658
335	0.00344849
336	0.00088501
337	0.00537109
338	-0.000701904
339	0.00631714
340	0.000274658
341	0.00216675
342	0.00537109
343	-0.00387573
344	0.00982666
345	-0.00515747
346	0.00888062
347	-0.00292969
348	0.00439453
349	0.00250244
350	0.000579834
351	0.00314331
352	0.000274658
